"source","target"
"AC004470.1","MIR3687-1"
"AC004470.1","MIR3687-2"
"AC004470.1","MIR663B"
"AC004470.1","RNU6-130P"
"AC004470.1","TRAJ2"
"AC004470.1","TRBJ1-5"
"AC004552.1","AC073370.1"
"AC004691.1","AC006925.1"
"AC004691.1","AC008869.1"
"AC004691.1","AC010884.2"
"AC004691.1","AC011073.1"
"AC004691.1","AC025674.1"
"AC004691.1","AC026992.1"
"AC004691.1","AC073127.1"
"AC004691.1","AC091042.1"
"AC004691.1","AC108004.1"
"AC004691.1","AC118282.2"
"AC004691.1","AC119751.2"
"AC004691.1","AC132192.1"
"AC004691.1","AC246787.4"
"AC004691.1","AC253576.1"
"AC004691.1","AL021394.1"
"AC004691.1","AL031768.1"
"AC004691.1","AL138898.1"
"AC004691.1","AL359955.1"
"AC004691.1","AL360176.1"
"AC004691.1","AL442127.1"
"AC004691.1","AL589947.1"
"AC004691.1","AL591708.1"
"AC004691.1","AL713999.1"
"AC004691.1","AL901608.1"
"AC004691.1","AL928742.1"
"AC004691.1","AP001187.1"
"AC004691.1","CR392039.1"
"AC004691.1","CU463998.1"
"AC004691.1","CU463998.2"
"AC004691.1","FO203515.1"
"AC004691.1","FP236383.7"
"AC004691.1","FP236383.8"
"AC004691.1","FP325318.1"
"AC004691.1","FP671120.2"
"AC004691.1","IGHJ2P"
"AC004691.1","IGHJ6"
"AC004691.1","MIR126"
"AC004691.1","MIR186"
"AC004691.1","MIR23A"
"AC004691.1","MIR24-2"
"AC004691.1","MIR25"
"AC004691.1","MIR3164"
"AC004691.1","MIR324"
"AC004691.1","MIR3653"
"AC004691.1","MIR3687-1"
"AC004691.1","MIR3687-2"
"AC004691.1","MIR4257"
"AC004691.1","MIR4436B1"
"AC004691.1","MIR4436B2"
"AC004691.1","MIR5188"
"AC004691.1","MIR616"
"AC004691.1","MIR635"
"AC004691.1","MIR647"
"AC004691.1","MIR657"
"AC004691.1","MIRLET7D"
"AC004691.1","RNA5SP298"
"AC004691.1","RNA5SP311"
"AC004691.1","RNA5SP317"
"AC004691.1","RNU6-118P"
"AC004691.1","RNU6-1"
"AC004691.1","RNU6-2"
"AC004691.1","RNU6-312P"
"AC004691.1","RNU6-3P"
"AC004691.1","RNU6-4P"
"AC004691.1","RNU6-5P"
"AC004691.1","RNU6-638P"
"AC004691.1","RNU6-6P"
"AC004691.1","RNU6-737P"
"AC004691.1","RNU6-9"
"AC004691.1","RNY4P10"
"AC004691.1","RP11-434C1.2"
"AC004691.1","SNORA27"
"AC004691.1","SNORD12B"
"AC004691.1","SNORD14A"
"AC004691.1","SNORD19"
"AC004691.1","SNORD6"
"AC004691.1","SNORD83A"
"AC004691.1","SNORD99"
"AC004691.1","SPRR2A"
"AC004691.1","TRBJ2-6"
"AC004691.1","Z98750.1"
"AC004691.1","snoMe28S-Am2634"
"AC004812.1","AC011453.1"
"AC004812.1","AC055873.1"
"AC004812.1","AC091154.1"
"AC004812.1","AL022314.1"
"AC004812.1","AL354720.1"
"AC004812.1","AL662800.1"
"AC004812.1","AP000279.1"
"AC004812.1","AP003550.1"
"AC004812.1","MIR199A2"
"AC004812.1","MIR3138"
"AC004812.1","MIR5010"
"AC004812.1","MT-TW"
"AC004812.1","RP11-248B24.5"
"AC004846.1","MIR1285-1"
"AC004846.1","RP11-17P16.2"
"AC004846.1","SNORA80E"
"AC004846.1","U6"
"AC004932.1","AC008759.1"
"AC004932.1","AC008798.1"
"AC004932.1","AC020606.1"
"AC004932.1","AC026992.1"
"AC004932.1","AC100800.2"
"AC004932.1","AL139815.1"
"AC004932.1","AL356137.1"
"AC004932.1","AL365181.1"
"AC004932.1","AL445204.1"
"AC004932.1","AP000889.3"
"AC004932.1","AP001187.1"
"AC004932.1","MIR186"
"AC004932.1","MIR210"
"AC004932.1","MIR3653"
"AC004932.1","MIR429"
"AC004932.1","MIR4420"
"AC004932.1","MIR570"
"AC004932.1","MIR647"
"AC004932.1","MIRLET7D"
"AC004932.1","RNY4P10"
"AC004932.1","RNY4P7"
"AC004932.1","RNY4"
"AC004932.1","RP11-927P21.4"
"AC004932.1","RP11-927P21.9"
"AC004932.1","SCARNA22"
"AC004932.1","SNORA28"
"AC004932.1","SNORD117"
"AC004932.1","SNORD9"
"AC004932.1","snoU13"
"AC004943.1","AC005513.1"
"AC004943.1","AC005943.6"
"AC004943.1","AC006925.1"
"AC004943.1","AC009009.1"
"AC004943.1","AC010884.2"
"AC004943.1","AC011073.1"
"AC004943.1","AC015883.1"
"AC004943.1","AC015923.2"
"AC004943.1","AC018688.1"
"AC004943.1","AC021613.1"
"AC004943.1","AC022395.1"
"AC004943.1","AC025594.1"
"AC004943.1","AC025674.1"
"AC004943.1","AC025918.1"
"AC004943.1","AC073127.1"
"AC004943.1","AC074191.1"
"AC004943.1","AC091042.1"
"AC004943.1","AC092925.1"
"AC004943.1","AC093788.1"
"AC004943.1","AC099539.1"
"AC004943.1","AC099805.1"
"AC004943.1","AC103563.5"
"AC004943.1","AC104986.1"
"AC004943.1","AC108004.1"
"AC004943.1","AC118282.2"
"AC004943.1","AC119751.2"
"AC004943.1","AC244205.1"
"AC004943.1","AC244250.3"
"AC004943.1","AC245028.1"
"AC004943.1","AC245036.6"
"AC004943.1","AC246787.1"
"AC004943.1","AC246787.3"
"AC004943.1","AC246787.4"
"AC004943.1","AC246787.5"
"AC004943.1","AL021394.1"
"AC004943.1","AL022326.1"
"AC004943.1","AL031768.1"
"AC004943.1","AL136137.1"
"AC004943.1","AL136231.1"
"AC004943.1","AL138898.1"
"AC004943.1","AL161626.1"
"AC004943.1","AL162151.3"
"AC004943.1","AL354923.1"
"AC004943.1","AL358354.1"
"AC004943.1","AL359753.1"
"AC004943.1","AL359955.1"
"AC004943.1","AL391380.1"
"AC004943.1","AL442127.1"
"AC004943.1","AL589947.1"
"AC004943.1","AL590431.1"
"AC004943.1","AL591428.1"
"AC004943.1","AL591708.1"
"AC004943.1","AL713999.1"
"AC004943.1","AL901608.1"
"AC004943.1","AL928742.1"
"AC004943.1","AP000887.1"
"AC004943.1","AP002022.1"
"AC004943.1","ARMC2-AS1"
"AC004943.1","BX088702.1"
"AC004943.1","CR392039.1"
"AC004943.1","CU463998.1"
"AC004943.1","CU463998.2"
"AC004943.1","DEFB4A"
"AC004943.1","FO203515.1"
"AC004943.1","FP236383.7"
"AC004943.1","FP236383.8"
"AC004943.1","FP325318.1"
"AC004943.1","FP671120.2"
"AC004943.1","IGHD2-15"
"AC004943.1","IGHD3-16"
"AC004943.1","IGHJ1"
"AC004943.1","IGHJ2P"
"AC004943.1","IGHJ2"
"AC004943.1","IGHJ3P"
"AC004943.1","IGHJ3"
"AC004943.1","IGHJ4"
"AC004943.1","IGHJ5"
"AC004943.1","IGHJ6"
"AC004943.1","IGKJ1"
"AC004943.1","IGKJ3"
"AC004943.1","IGKJ4"
"AC004943.1","IGKJ5"
"AC004943.1","IGLJ1"
"AC004943.1","IGLJ6"
"AC004943.1","KLK6"
"AC004943.1","KLK8"
"AC004943.1","MIR1255B2"
"AC004943.1","MIR126"
"AC004943.1","MIR143"
"AC004943.1","MIR181B1"
"AC004943.1","MIR203A"
"AC004943.1","MIR23A"
"AC004943.1","MIR23B"
"AC004943.1","MIR24-2"
"AC004943.1","MIR25"
"AC004943.1","MIR27B"
"AC004943.1","MIR30C2"
"AC004943.1","MIR3164"
"AC004943.1","MIR3176"
"AC004943.1","MIR3197"
"AC004943.1","MIR324"
"AC004943.1","MIR3657"
"AC004943.1","MIR3682"
"AC004943.1","MIR3687-1"
"AC004943.1","MIR3687-2"
"AC004943.1","MIR374B"
"AC004943.1","MIR378G"
"AC004943.1","MIR378J"
"AC004943.1","MIR4257"
"AC004943.1","MIR4436A"
"AC004943.1","MIR4477A"
"AC004943.1","MIR4477B"
"AC004943.1","MIR4537"
"AC004943.1","MIR4538"
