"source","target"
"ABCA12","SPRR3"
"ABCA12","STOM"
"ABCA12","STRIP2"
"ABCA12","TCN1"
"ABCA12","TGM2"
"ABCA12","TNFRSF10C"
"ABCA12","TNFRSF6B"
"ABCA12","TNIP3"
"ABCA12","TRAJ2"
"ABCA12","TRBJ1-4"
"ABCA12","TRBJ1-5"
"ABCA12","TRBJ2-2"
"ABCA12","TRBJ2-6"
"ABCA12","TREM1"
"ABCA12","VSIG1"
"ABCA12","WISP1"
"ABCA12","WNT2"
"ABCA12","Y"
"ABCA12","Z98750.1"
"ABCA12","ZBP1"
"ABCA12","snoMe28S-Am2634"
"ABCA1","AKAP11"
"ABCA1","NFAT5"
"ABCA1","PIKFYVE"
"ABCA1","RICTOR"
"ABCA1","ZKSCAN8"
"ABCA7","ACAP1"
"ABCA7","ANKRD13D"
"ABCA7","ARHGAP4"
"ABCA7","ODF3B"
"ABCA7","RHPN1"
"ABCA7","RNF166"
"ABCA7","SPHK1"
"ABCA7","SYTL1"
"ABCA7","TNFRSF4"
"ABCA8","PTCH1"
"ABCA9","RP11-72I8.1"
"ABCA9","RP4-742C19.13"
"ABCB10","ADSS"
"ABCB10","AGGF1"
"ABCB10","AHCYL1"
"ABCB10","AP3M1"
"ABCB10","API5"
"ABCB10","ARMC1"
"ABCB10","CDC5L"
"ABCB10","COX18"
"ABCB10","CTBP2"
"ABCB10","CUL2"
"ABCB10","DESI2"
"ABCB10","DLG1"
"ABCB10","FAM102B"
"ABCB10","FAM120A"
"ABCB10","GTF2H3"
"ABCB10","ICK"
"ABCB10","KPNA3"
"ABCB10","MAGT1"
"ABCB10","MAP2K4"
"ABCB10","MCCC2"
"ABCB10","MCMBP"
"ABCB10","NAA35"
"ABCB10","NARS"
"ABCB10","NECAP1"
"ABCB10","PARG"
"ABCB10","PCNP"
"ABCB10","PDS5A"
"ABCB10","PI4K2B"
"ABCB10","PIK3CB"
"ABCB10","PM20D2"
"ABCB10","PPP4R3B"
"ABCB10","RAD21"
"ABCB10","RAD23B"
"ABCB10","RBBP4"
"ABCB10","RMI1"
"ABCB10","SLC25A46"
"ABCB10","SLC30A9"
"ABCB10","SMC3"
"ABCB10","SUZ12"
"ABCB10","UBP1"
"ABCB10","UEVLD"
"ABCB10","UFL1"
"ABCB10","USP16"
"ABCB10","USP1"
"ABCB10","YES1"
"ABCB10","YME1L1"
"ABCB10","ZBED4"
"ABCB10","ZDHHC20"
"ABCC1","ACAD11"
"ABCC1","ACIN1"
"ABCC1","ADAM19"
"ABCC1","ADCY7"
"ABCC1","ADGRG6"
"ABCC1","ADPGK"
"ABCC1","AKAP17A"
"ABCC1","ARGLU1"
"ABCC1","ASAP1"
"ABCC1","ATP8B2"
"ABCC1","BTAF1"
"ABCC1","BTN2A2"
"ABCC1","C1S"
"ABCC1","C4orf32"
"ABCC1","CARD6"
"ABCC1","CARD8"
"ABCC1","CCP110"
"ABCC1","CCSAP"
"ABCC1","CD44"
"ABCC1","CD93"
"ABCC1","CDC42SE1"
